"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","23","1136.8667","10","8","5","9","25","0.543","1102","1006","52.28","855","740","53.61","650","568","53.37","45","41","52.33","49.41","42.13","53.98","555","500","52.61","347","310","52.82","44","38","53.66","12.68","87.74","223","185","54.66","178","147","54.77","29","24","54.72","16.29","83.67","332","315","51.31","169","163","50.90","15","14","51.72","8.88","91.41","489","445","52.36","278","235","54.19","1","3","25.00","0.36","98.72","6.92","92.78","0.997"
"2","Tampa Bay Lightning","22","1045.2667","13","5","4","11","30","0.682","955","883","51.96","746","667","52.80","527","497","51.46","45","35","56.25","43.16","36.16","54.41","515","460","52.82","291","282","50.79","33","30","52.38","11.34","89.36","221","153","59.09","153","121","55.84","25","19","56.82","16.34","84.30","294","307","48.92","138","161","46.15","8","11","42.11","5.80","93.17","395","378","51.10","216","194","52.68","11","5","68.75","5.09","97.42","8.54","92.96","1.015"
"3","Seattle Kraken","24","1178.9833","9","13","2","9","20","0.417","972","979","49.82","740","727","50.44","533","537","49.81","45","62","42.06","41.13","41.92","49.52","466","455","50.60","297","286","50.94","38","51","42.70","12.79","82.17","189","178","51.50","148","148","50.00","23","33","41.07","15.54","77.70","277","277","50.00","149","138","51.92","15","18","45.45","10.07","86.96","449","465","49.12","226","231","49.45","7","11","38.89","3.10","95.24","8.44","88.45","0.969"
"4","Vegas Golden Knights","23","1124.95","13","10","0","12","26","0.565","1083","1120","49.16","801","811","49.69","602","612","49.59","55","54","50.46","49.65","53.3","48.23","534","588","47.59","327","356","47.88","48","47","50.53","14.68","86.80","230","241","48.83","170","181","48.43","33","36","47.83","19.41","80.11","304","347","46.70","157","175","47.29","15","11","57.69","9.55","93.71","456","454","50.11","241","233","50.84","7","7","50.00","2.90","97.00","9.14","91.18","1.003"
"5","Montreal Canadiens","25","1205.1167","6","17","2","6","14","0.280","1109","1154","49.01","793","888","47.17","593","649","47.75","37","51","42.05","45.54","50.57","47.38","550","576","48.85","301","338","47.10","32","43","42.67","10.63","87.28","215","230","48.31","149","165","47.45","19","34","35.85","12.75","79.39","335","346","49.19","152","173","46.77","13","9","59.09","8.55","94.80","468","493","48.70","263","277","48.70","5","8","38.46","1.90","97.11","6.24","92.14","0.984"
"6","Toronto Maple Leafs","24","1189.7","17","6","1","17","35","0.729","1209","1081","52.79","908","849","51.68","654","609","51.78","51","38","57.30","58.51","46.92","55.50","694","557","55.48","417","335","55.45","47","34","58.02","11.27","89.85","266","234","53.20","205","164","55.56","34","22","60.71","16.59","86.59","428","323","56.99","212","171","55.35","13","12","52.00","6.13","92.98","465","464","50.05","217","241","47.38","4","4","50.00","1.84","98.34","7.80","93.76","1.016"
"7","New York Rangers","22","1061.7","15","4","3","14","33","0.750","879","1048","45.61","663","786","45.76","467","544","46.19","39","36","52.00","40.77","44.92","47.57","445","541","45.13","261","293","47.11","36","33","52.17","13.79","88.74","200","198","50.25","144","137","51.25","22","23","48.89","15.28","83.21","245","343","41.67","117","156","42.86","14","10","58.33","11.97","93.59","370","445","45.40","174","225","43.61","3","3","50.00","1.72","98.67","8.35","93.38","1.017"
"8","Washington Capitals","24","1177.2","14","4","6","14","34","0.708","1052","1018","50.82","821","757","52.03","586","538","52.14","63","39","61.76","46.69","45.15","50.84","529","520","50.43","320","292","52.29","52","30","63.41","16.25","89.73","201","211","48.79","141","138","50.54","30","20","60.00","21.28","85.51","328","309","51.49","179","154","53.75","22","10","68.75","12.29","93.51","455","417","52.18","237","223","51.52","11","9","55.00","4.64","95.96","10.75","92.75","1.035"
"9","Chicago Blackhawks","22","1059.0833","8","12","2","6","18","0.409","869","1031","45.74","610","757","44.62","448","555","44.67","28","51","35.44","33.73","44.22","43.27","419","517","44.76","241","311","43.66","27","45","37.50","11.20","85.53","150","174","46.30","107","147","42.13","17","31","35.42","15.89","78.91","269","343","43.95","134","164","44.97","10","14","41.67","7.46","91.46","385","450","46.11","188","231","44.87","1","6","14.29","0.53","97.40","6.25","90.81","0.971"
"10","Colorado Avalanche","20","925.8167","12","7","1","11","25","0.625","897","818","52.30","641","607","51.36","482","460","51.17","46","43","51.69","36.78","34.26","51.77","462","392","54.10","273","228","54.49","37","36","50.68","13.55","84.21","170","147","53.63","129","111","53.75","23","20","53.49","17.83","81.98","292","245","54.38","144","117","55.17","14","16","46.67","9.72","86.32","372","361","50.75","184","206","47.18","9","7","56.25","4.89","96.60","9.54","90.65","1.002"
"11","Vancouver Canucks","24","1127.3667","8","14","2","7","18","0.375","1073","1010","51.51","775","754","50.69","593","577","50.68","35","36","49.30","41.82","44.79","48.28","495","513","49.11","289","327","46.92","27","33","45.00","9.34","89.91","173","207","45.53","127","169","42.91","19","21","47.50","14.96","87.57","322","306","51.27","162","158","50.63","8","12","40.00","4.94","92.41","505","430","54.01","278","224","55.38","8","3","72.73","2.88","98.66","5.90","93.76","0.997"
